lam_factor,exact_count,exact_frac,mean_tpr,mean_fdp,mean_mse
0.05,0,0.0,1.0,0.7368212009962744,0.0015817964332656735
0.06,0,0.0,1.0,0.6430629258559076,0.001762666929845178
0.07,0,0.0,1.0,0.5197333610017434,0.00207626393308377
0.08,7,0.035,1.0,0.3855808208604261,0.002406754183131502
0.09,18,0.09,1.0,0.2818704906204906,0.00286364539602417
0.1,57,0.285,1.0,0.18465340215340217,0.0033824728908977697
0.11,91,0.455,1.0,0.1286904761904762,0.004154940927488603
0.12,127,0.635,1.0,0.07134920634920634,0.004704595498125313
0.13,140,0.7,1.0,0.06041666666666666,0.005580216615745792
0.14,165,0.825,1.0,0.030357142857142857,0.006262280942789565
0.15,169,0.845,0.9990000000000001,0.026190476190476188,0.006888042684800434
0.16,176,0.88,1.0,0.020595238095238094,0.0079872046211996
0.17,183,0.915,0.9969999999999999,0.013666666666666667,0.008880603963247491
0.18,176,0.88,0.991,0.013095238095238094,0.010023374670057312
0.19,175,0.875,0.9730000000000001,0.005333333333333333,0.011147836231830115
0.2,174,0.87,0.9720000000000002,0.0026666666666666666,0.012173623065083784
