n,p,k,time_X,time_lasso,time_metrics,time_total
300,1000,40,0.004487848281860352,0.0021242618560791014,7.796287536621094e-05,0.006690073013305664
450,1000,40,0.004873752593994141,0.002473115921020508,5.726814270019531e-05,0.007404136657714844
600,1000,40,0.006299209594726562,0.0027116775512695313,5.2022933959960935e-05,0.009062910079956054
750,1000,40,0.007729864120483399,0.003551197052001953,6.82830810546875e-05,0.011349344253540039
900,1000,40,0.009282445907592774,0.002515745162963867,5.1355361938476564e-05,0.011849546432495117
1050,1000,40,0.010791873931884766,0.0027464866638183595,5.402565002441406e-05,0.013592386245727539
1200,1000,40,0.012204360961914063,0.0030689239501953125,5.502700805664063e-05,0.015328311920166017
1350,1000,40,0.013776254653930665,0.003216552734375,5.2022933959960935e-05,0.017044830322265624
1500,1000,40,0.015309381484985351,0.0036590099334716797,4.99725341796875e-05,0.01901836395263672
1650,1000,40,0.016732072830200194,0.003925991058349609,5.30242919921875e-05,0.02071108818054199
