n,p,k,rho,b,sigma,lam_factor,seed,exact_count,exact_frac,mean_tpr,mean_fdp,mean_mse,recovery_above_threshold
343,1000,50,0.0,1.0,1.0,1.0,43,0,0.0,0.0,0.0,0.05,False
343,1000,50,0.0,10.0,1.0,1.0,44,0,0.0,0.0,0.0,5.0,False
343,1000,50,0.0,100.0,1.0,1.0,45,0,0.0,0.7711000000000001,0.170741050837653,307.3745942283676,False
343,1000,50,0.5,1.0,1.0,1.0,46,0,0.0,0.0,0.0,0.05,False
343,1000,50,0.5,10.0,1.0,1.0,47,0,0.0,0.0,0.0,5.0,False
343,1000,50,0.5,100.0,1.0,1.0,48,0,0.0,0.708,0.24891502698491105,324.2615951494,False
343,1000,50,0.9,1.0,1.0,1.0,49,0,0.0,0.0,0.0,0.05,False
343,1000,50,0.9,10.0,1.0,1.0,50,0,0.0,0.0,0.0,5.0,False
343,1000,50,0.9,100.0,1.0,1.0,51,0,0.0,0.4273,0.5572799194616402,413.24844329039837,False
514,1000,50,0.0,1.0,1.0,1.0,52,0,0.0,0.0,0.0,0.05,False
514,1000,50,0.0,10.0,1.0,1.0,53,0,0.0,0.0,0.0,5.0,False
514,1000,50,0.0,100.0,1.0,1.0,54,0,0.0,0.6494999999999999,0.017794926143288353,366.7529012702053,False
514,1000,50,0.5,1.0,1.0,1.0,55,0,0.0,0.0,0.0,0.05,False
514,1000,50,0.5,10.0,1.0,1.0,56,0,0.0,0.0,0.0,5.0,False
514,1000,50,0.5,100.0,1.0,1.0,57,0,0.0,0.6240000000000001,0.0811722873209113,368.4740825033187,False
514,1000,50,0.9,1.0,1.0,1.0,58,0,0.0,0.0,0.0,0.05,False
514,1000,50,0.9,10.0,1.0,1.0,59,0,0.0,0.0,0.0,5.0,False
514,1000,50,0.9,100.0,1.0,1.0,60,0,0.0,0.3942,0.4727727405911393,418.1984775357649,False
686,1000,50,0.0,1.0,1.0,1.0,61,0,0.0,0.0,0.0,0.05,False
686,1000,50,0.0,10.0,1.0,1.0,62,0,0.0,0.0,0.0,5.0,False
686,1000,50,0.0,100.0,1.0,1.0,63,0,0.0,0.48219999999999996,0.0019747379813169286,420.8125548895628,False
686,1000,50,0.5,1.0,1.0,1.0,64,0,0.0,0.0,0.0,0.05,False
686,1000,50,0.5,10.0,1.0,1.0,65,0,0.0,0.0,0.0,5.0,False
686,1000,50,0.5,100.0,1.0,1.0,66,0,0.0,0.47950000000000004,0.03190347497556542,415.07858762302914,False
686,1000,50,0.9,1.0,1.0,1.0,67,0,0.0,0.0,0.0,0.05,False
686,1000,50,0.9,10.0,1.0,1.0,68,0,0.0,0.0,0.0,5.0,False
686,1000,50,0.9,100.0,1.0,1.0,69,0,0.0,0.3422,0.4190588124448331,431.79711485344427,False
857,1000,50,0.0,1.0,1.0,1.0,70,0,0.0,0.0,0.0,0.05,False
857,1000,50,0.0,10.0,1.0,1.0,71,0,0.0,0.0,0.0,5.0,False
857,1000,50,0.0,100.0,1.0,1.0,72,0,0.0,0.3239,0.0,458.3306206313114,False
857,1000,50,0.5,1.0,1.0,1.0,73,0,0.0,0.0,0.0,0.05,False
857,1000,50,0.5,10.0,1.0,1.0,74,0,0.0,0.0,0.0,5.0,False
857,1000,50,0.5,100.0,1.0,1.0,75,0,0.0,0.33099999999999996,0.013296728891425351,452.2764669990791,False
857,1000,50,0.9,1.0,1.0,1.0,76,0,0.0,0.0,0.0,0.05,False
857,1000,50,0.9,10.0,1.0,1.0,77,0,0.0,0.0,0.0,5.0,False
857,1000,50,0.9,100.0,1.0,1.0,78,0,0.0,0.2921,0.38294188200683954,442.5290709638326,False
1028,1000,50,0.0,1.0,1.0,1.0,79,0,0.0,0.0,0.0,0.05,False
1028,1000,50,0.0,10.0,1.0,1.0,80,0,0.0,0.0,0.0,5.0,False
1028,1000,50,0.0,100.0,1.0,1.0,81,0,0.0,0.179,0.0,481.4788848264984,False
1028,1000,50,0.5,1.0,1.0,1.0,82,0,0.0,0.0,0.0,0.05,False
1028,1000,50,0.5,10.0,1.0,1.0,83,0,0.0,0.0,0.0,5.0,False
1028,1000,50,0.5,100.0,1.0,1.0,84,0,0.0,0.205,0.005322115384615384,473.93112278733446,False
1028,1000,50,0.9,1.0,1.0,1.0,85,0,0.0,0.0,0.0,0.05,False
1028,1000,50,0.9,10.0,1.0,1.0,86,0,0.0,0.0,0.0,5.0,False
1028,1000,50,0.9,100.0,1.0,1.0,87,0,0.0,0.24530000000000002,0.33528583068014145,451.82082629445046,False
1371,1000,50,0.0,1.0,1.0,1.0,88,0,0.0,0.0,0.0,0.05,False
1371,1000,50,0.0,10.0,1.0,1.0,89,0,0.0,0.0,0.0,5.0,False
1371,1000,50,0.0,100.0,1.0,1.0,90,0,0.0,0.0196,0.0,498.708831785016,False
1371,1000,50,0.5,1.0,1.0,1.0,91,0,0.0,0.0,0.0,0.05,False
1371,1000,50,0.5,10.0,1.0,1.0,92,0,0.0,0.0,0.0,5.0,False
1371,1000,50,0.5,100.0,1.0,1.0,93,0,0.0,0.053500000000000006,0.00125,493.8773042837791,False
1371,1000,50,0.9,1.0,1.0,1.0,94,0,0.0,0.0,0.0,0.05,False
1371,1000,50,0.9,10.0,1.0,1.0,95,0,0.0,0.0,0.0,5.0,False
1371,1000,50,0.9,100.0,1.0,1.0,96,0,0.0,0.17909999999999995,0.29184668689459037,465.1174481811942,False
